Quarter,Overall Revenue Growth,Market Share,Employee Engagement Score,Customer Satisfaction Score,Revenue,Cost,Profit
2022-Q1,0.05,0.15,0.7,0.85,105000,70000,35000
2022-Q2,0.07,0.16,0.72,0.87,112350,73500,38850
2022-Q3,0.06,0.17,0.74,0.89,119091,77000,42091
2022-Q4,0.08,0.18,0.76,0.9,128618,80500,48118
2023-Q1,0.1,0.19,0.78,0.91,141480,84000,57480
2023-Q2,0.09,0.2,0.8,0.92,154213,87500,66713
2023-Q3,0.11,0.21,0.82,0.93,171177,91000,80177
2023-Q4,0.12,0.22,0.84,0.94,191718,94500,97218
2024-Q1,0.13,0.23,0.86,0.95,216641,98000,118641
2024-Q2,0.14,0.24,0.88,0.96,246971,101500,145471
